probIn scale
0.09448926 0.01608399
0.09679259 0.01614429
0.1095984 0.01666887
0.07648211 0.01620563
0.07130257 0.01619537
0.1133374 0.01458674
0.1422233 0.01509025
0.1117294 0.01473836
0.1138684 0.01391339
0.1116222 0.01440666
0.08028781 0.01554169
0.07707638 0.01580317
0.05555521 0.01650484
0.0640544 0.01530498
0.06281315 0.01584616
0.04545097 0.01612413
0.05542868 0.016456
0.06601129 0.01612473
0.04134024 0.01610111
0.05937307 0.01643511
0.04657574 0.01685316
0.05102502 0.01753028
0.06116434 0.01808599
0.04426806 0.01942466
0.03053819 0.01887129
0.02793626 0.0198074
0.01654083 0.02130273
0.01509887 0.02198715
0.029976 0.02228128
0.05466737 0.02169923
0.0468219 0.0227868
0.04589074 0.02128518
0.03249141 0.02099071
0.04195187 0.02161707
0.03842454 0.02081953
0.0396024 0.02183682
0.05553733 0.02105165
0.05702142 0.02120368
0.04892897 0.02121652
0.05809718 0.02179959
0.05222032 0.02234306
0.05462346 0.0212453
0.02867454 0.02124752
0.03501637 0.02028274
0.03727372 0.01932998
0.03754694 0.02011416
0.06052106 0.01952265
0.04536249 0.01953035
0.03933063 0.0183428
0.06948092 0.01976403
0.06644278 0.01896638
0.06516528 0.01867461
0.05273724 0.01746676
0.03898916 0.0168446
0.0391915 0.01673869
0.02106724 0.01516691
0.03503461 0.0148996
0.03025612 0.01526682
0.03229663 0.0154216
0.03797051 0.01450422
0.05336802 0.01469368
0.0627336 0.01575369
0.05680406 0.01504235
0.05635531 0.01433599
0.05251199 0.01364036
0.07167814 0.01432563
0.06576131 0.01483718
0.07972022 0.01462842
0.0687494 0.01424201
0.1044017 0.01426181
0.08339274 0.01475101
0.09556646 0.01453773
0.06908101 0.01387129
0.07320626 0.01493721
0.0767748 0.01473944
0.08284972 0.0148083
0.07286473 0.01477197
0.05649898 0.01526985
0.05163819 0.01557451
0.07169075 0.01538701
0.06681542 0.01572682
0.04728861 0.01603589
0.07408492 0.01521261
0.1039097 0.01476055
0.08548909 0.01436467
0.06569725 0.01570801
0.0534756 0.01562642
0.06806194 0.01527841
0.05700696 0.01461785
0.05274118 0.01452876
0.04528976 0.01411349
0.04776352 0.01496823
0.04915531 0.01463993
0.03158661 0.01483669
0.03465039 0.01504771
